common_voice_en_30699821.mp3	THE WAREHOUSES OF MEGAPOLIS UKRAINE IN SIX CITIES WERE BLOCKED BY ACTIVISTS
common_voice_en_29984396.mp3	THIS STRONGHOLD WANTED TO SQUEEZE EVERY SINGLE PENNY OUT OF JAIPUR
common_voice_en_32857287.mp3	ATTITUDE PSYCHOLOGY
common_voice_en_32752087.mp3	THEY LOST TO NORTHERN ARIZONA IN THE FIRST ROUND OF THE BIG SKY TOURNAMENT
common_voice_en_534327.mp3	PLASTIC SURGERY HAS BECOME MORE POPULAR
common_voice_en_18257271.mp3	THE TRACKING REFERENCE DID NOT WORK
common_voice_en_17881653.mp3	BUT YOU ARE JOKING
common_voice_en_265829.mp3	THE TEA WAS A LITTLE BIT TOO HOT
common_voice_en_31789467.mp3	BOB SEAMAN TOOK OVER AS HEAD COACH AFTER THE CRASH
common_voice_en_31661600.mp3	THE ISRAELI MINISTRY OF FOREIGN AFFAIRS PROTESTED THE CHECK
common_voice_en_19610056.mp3	PHILIP THEN TELLS HIS PARENTS THAT HE WAS SUSPENDED FOR SINGING THE NATIONAL ANTHEM
common_voice_en_20800498.mp3	ONCE THESE ROOTS REACH THE GROUND THEY GROW INTO WOODY TRUNKS
common_voice_en_31670394.mp3	SHE ATTENDED CLARK MIDDLE SCHOOL FOR ONE YEAR
common_voice_en_18304023.mp3	PLEASE CONSULT YOUR PHYSICIAN IF YOU EXPERIENCE ANY SIDE EFFECTS
common_voice_en_26841931.mp3	THE TWO PLATFORMS ARE NOW LINKED BY A FOOTBRIDGE
common_voice_en_18273505.mp3	THE TEA WAS A LITTLE BIT TOO HOT
common_voice_en_17442655.mp3	PLEASE BE HUMBLE
common_voice_en_30406494.mp3	THIS SPECIES ARE ON THE WING FROM JULY TO APRIL
common_voice_en_31667122.mp3	HISTORICALLY THERE WAS NO CLEARLY DEFINED BOUNDARY IN THIS PART OF THE ARABIAN PENINSULA
common_voice_en_31639313.mp3	HE WENT TO HIGH SCHOOL AT BELLAIRE HIGH SCHOOL AND TO COLLEGE AT AKRON
common_voice_en_22140642.mp3	SEVEN
common_voice_en_18237074.mp3	EVEN WITH NIGHT VISION GOGGLES NO TARGET WAS IN SIGHT
common_voice_en_19941211.mp3	NOTABLY IT PROVIDED THE HARSH SOUNDS ON THE TRACK ANTENNA
common_voice_en_25619619.mp3	FOR EXAMPLE SAVES THE CURRENT FILE GOES TO THE SEARCH MENU
